date	elevation
1942-06-01	31.6
1942-06-08	31
1942-06-15	28.8
1942-06-22	26.4
1942-06-29	26.7
1942-07-06	26.7
1942-07-13	24.9
1942-07-20	32.8
1942-07-27	30.4
1942-08-04	29.8
1942-08-10	26.1
1942-08-17	23.4
1942-08-24	24
1942-08-31	21.8
1942-09-07	23.4
1942-09-14	23.1
1942-09-21	29.8
1942-09-28	29.2
1942-10-05	29.8
1942-10-12	28.2
1942-10-19	26.7
1942-10-26	24.3
1942-11-02	25.2
1942-11-09	25.8
1942-11-16	26.1
1942-11-23	26.1
1942-11-30	22.1
1942-12-07	21.5
1942-12-14	22.4
1942-12-21	23.4
1942-12-28	21.5
1943-01-04	22.1
1943-01-11	22.4
1943-01-18	24
1943-01-25	24.6
1943-02-01	24
1943-02-08	21.2
1943-02-15	20.6
1943-02-22	20
1943-03-01	19.7
1943-03-08	19.4
1943-03-15	20.9
1943-03-22	22.1
1943-03-29	21.8
1943-05-03	30.4
1943-05-10	31.9
1943-05-17	30.7
1943-05-24	30.1
1943-05-31	34
1943-06-07	35.9
1943-06-14	37.4
1943-06-20	42
1943-06-28	42.9
1943-07-05	40.1
1943-07-12	38
1943-07-19	34
1943-07-26	31
1943-08-02	30.7
1943-08-09	31.9
1943-08-16	33.1
1943-08-22	30.7
1943-08-29	29.8
1943-09-05	28.8
1943-09-12	26.7
1943-09-19	24.3
1943-09-26	23.7
1943-10-03	24
1943-10-10	21.8
1943-10-17	21.2
1943-10-24	25.2
1943-10-31	24
1943-11-07	26.1
1943-11-14	26.1
1943-11-21	26.1
1943-11-28	23.7
1943-12-05	18.2
1943-12-12	17.9
1943-12-19	25.8
1943-12-26	26.7
1944-01-02	24.6
1944-01-09	23.7
1944-01-16	23.1
1944-01-23	23.1
1944-01-29	23.4
1944-02-06	23.1
1944-02-13	22.4
1944-02-20	21.2
1944-02-26	22.4
1944-03-05	22.1
1944-03-12	24.3
1944-03-19	23.7
1944-03-26	23.4
1944-04-02	21.2
1944-04-09	24.9
1944-04-16	24.9
1944-04-23	17.6
1944-04-30	22.4
1944-05-07	26.1
1944-05-14	29.8
1944-05-21	29.8
1944-05-28	28.5
1944-06-04	29.5
1944-06-11	30.1
1944-06-18	31.9
1944-06-25	30.4
1944-07-02	26.7
1944-07-09	22.7
1944-07-16	20.6
1944-07-23	17
1944-07-30	14.8
1944-08-06	12.1
1944-08-13	8.7
1944-08-20	4.8
1944-08-27	0.8
1944-09-03	2
1944-09-10	1.7
1944-09-17	1.7
1944-09-24	2
1944-10-01	3.5
1944-10-08	2.9
1944-10-15	1.1
1944-10-23	-1
1944-10-30	-3.2
1944-11-06	-3.5
1944-11-13	-3.5
1944-11-20	-3.8
1944-11-27	-4.4
1944-12-04	-2.3
1944-12-11	-15.4
1944-12-18	-15.4
1944-12-26	-15.4
1945-04-30	10.2
1945-05-07	7.8
1945-05-14	5.1
1945-05-21	3.8
1945-05-28	10.2
1945-06-04	13
1945-06-11	12.4
1945-06-18	11.8
1945-06-25	9.9
1945-07-02	11.5
1945-07-09	13.9
1945-07-16	11.8
1945-07-23	9.9
1945-07-30	8.1
1945-08-06	6.3
1945-08-13	5.4
1945-08-20	7.2
1945-08-27	5.1
1945-09-03	9.9
1945-09-10	9
1945-09-17	5.4
1945-09-24	7.5
1945-10-04	7.2
1945-10-08	7.8
1945-10-15	6
1945-10-22	4.8
1945-10-29	2.9
1945-11-05	4.2
1945-11-12	6
1945-11-19	5.4
1945-11-26	5.7
1945-12-03	6.9
1945-12-10	6.6
1945-12-17	5.7
1945-12-24	5.7
1945-12-31	5.1
1946-01-07	8.4
1946-01-14	8.4
1946-01-21	7.8
1946-01-28	7.5
1946-02-04	7.5
1946-02-11	10.2
1946-02-18	10.2
1946-02-25	10.6
1946-03-04	10.6
1946-03-11	10.9
1946-03-18	11.8
1946-03-25	10.6
1946-04-01	9
1946-04-08	7.5
1946-04-15	6.6
1946-04-22	5.1
1946-04-29	2.9
1946-05-06	0.8
1946-05-13	-2.6
1946-05-20	-3.2
1946-05-27	-1.3
1946-06-03	-2.6
1946-06-10	1.7
1946-06-17	0.8
1946-06-24	9.6
1946-07-01	10.2
1946-07-08	9.6
1946-07-15	5.7
1946-07-22	3.5
1946-07-29	4.8
1946-08-05	6.3
1946-08-12	3.2
1946-08-19	2.9
1946-08-26	0.2
1946-09-02	-2.3
1946-09-09	-0.1
1946-09-16	-2.6
1946-09-23	0.5
1946-09-30	-0.7
1946-10-08	-2.3
1946-10-14	-1.6
1946-10-21	-2.9
1946-10-28	0.5
1946-11-04	1.4
1946-11-11	4.8
1946-11-18	2.3
1946-11-25	2
1946-12-02	2.6
1946-12-09	2.9
1946-12-16	2.6
1946-12-23	2
1946-12-30	4.8
1947-01-06	4.8
1947-01-13	4.2
1947-01-20	3.2
1947-01-27	2.6
1947-02-03	1.7
1947-02-10	1.4
1947-02-17	0.8
1947-02-24	0.5
1947-03-03	-0.7
1947-03-10	-1.9
1947-03-17	-1.3
1947-03-24	-1
1947-03-31	-2.3
1947-04-07	1.4
1947-04-14	2.9
1947-04-21	2
1947-04-28	-3.5
1947-05-05	9.6
1947-05-12	8.7
1947-05-19	10.9
1947-05-26	10.9
1947-06-02	8.4
1947-06-09	8.4
1947-06-16	8.1
1947-06-23	6
1947-06-30	9.6
1947-07-07	6.9
1947-07-14	5.4
1947-07-21	6.6
1947-07-28	2.9
1947-08-04	-0.4
1947-08-11	-3.8
1947-08-18	-4.7
1947-08-25	-4.1
1947-09-01	-0.7
1947-09-08	-9.3
1947-09-15	-6.5
1947-09-22	-8.7
1947-09-29	-9.3
1947-10-06	-10.5
1947-10-13	-12.3
1947-10-20	-13.5
1947-10-27	-14.4
1947-11-10	-13.5
1947-11-17	-14.4
1947-11-24	-12.6
1947-12-01	-12.6
1947-12-08	-11.4
1947-12-15	-11.7
1947-12-22	-11.7
1947-12-29	-11.7
1948-01-05	-10.8
1948-01-12	-10.2
1948-01-19	-9.6
1948-01-26	-9.6
1948-02-03	-9.6
1948-02-09	-9.9
1948-02-17	-9.9
1948-02-24	-10.2
1948-03-01	-9
1948-03-08	-8.3
1948-03-15	-8.3
1948-03-22	-7.4
1948-03-29	-7.4
1948-04-05	-6.8
1948-04-12	-8.3
1948-04-19	-10.8
1948-04-26	-9.6
1948-05-03	-11.1
1948-05-10	-13.5
1948-05-17	-15.4
1948-05-24	-18.7
1948-05-31	-22.4
1948-06-07	-25.1
1948-06-14	-28.2
1948-06-21	-29.4
1948-06-28	-29.7
1948-07-05	-30
1948-07-12	-32.7
1948-07-19	-34.6
1948-07-26	-35.5
1948-08-02	-37.6
1948-08-04	-42.2
1948-08-16	-34.3
1948-08-23	-39.8
1948-08-30	-39.1
1948-09-06	-37.3
1948-09-13	-37.3
1948-09-20	-41.9
1948-09-27	-45.2
1948-10-04	-48.3
1948-10-11	-50.1
1948-10-18	-51.6
1948-10-25	-55
1948-11-01	-52.9
1948-11-08	-50.4
1948-11-15	-49.8
1948-11-22	-48.6
1948-11-29	-47.4
1948-12-06	-47.4
1948-12-13	-48
1948-12-20	-48
1948-12-27	-48
1949-01-03	-48.6
1949-01-10	-47.4
1949-01-17	-45.5
1949-01-24	-43.1
1949-01-31	-42.5
1949-02-07	-42.2
1949-02-14	-42.2
1949-02-21	-42.2
1949-02-28	-42.2
1949-03-08	-42.2
1949-03-14	-42.2
1949-03-21	-42.2
1949-03-28	-41
1949-04-04	-42.5
1949-04-11	-44
1949-04-18	-44.9
1949-04-25	-46.2
1949-05-02	-46.5
1949-05-09	-42.5
1949-05-16	-45.2
1949-05-23	-47.1
1949-05-30	-51
1949-06-06	-52.9
1949-06-20	-55.3
1949-06-27	-52.6
1949-07-05	-40.4
1949-07-12	-42.8
1949-07-18	-46.2
1949-07-25	-45.8
1949-08-01	-42.2
1949-08-08	-44.6
1949-08-15	-47.1
1949-08-22	-45.5
1949-08-29	-44.9
1949-09-05	-44
1949-09-12	-44
1949-09-19	-45.5
1949-09-26	-48
1949-10-03	-49.2
1949-10-10	-47.4
1949-10-17	-48.6
1949-10-24	-47.7
1949-10-31	-49.2
1949-11-07	-51
1949-11-14	-48.9
1949-11-21	-49.8
1949-11-28	-49.2
1949-12-05	-48.6
1949-12-12	-47.4
1949-12-19	-48
1949-12-26	-48.3
1950-01-02	-48.9
1950-01-09	-50.1
1950-01-17	-48.3
1950-01-23	-48
1950-01-30	-46.2
1950-02-06	-47.7
1950-02-13	-46.8
1950-02-20	-45.8
1950-02-27	-45.8
1950-03-06	-45.8
1950-03-13	-44.6
1950-03-20	-44.3
1950-03-27	-42.8
1950-04-03	-41.6
1950-04-10	-39.1
1950-04-17	-39.1
1950-04-24	-33.7
1950-05-02	-32.4
1950-05-08	-29.7
1950-05-15	-26.6
1950-05-22	-26
1950-05-29	-26.6
1950-06-05	-25.1
1950-06-12	-21.8
1950-06-19	-23.9
1950-06-26	-24.5
1950-07-03	-22.7
1950-07-10	-23.9
1950-07-17	-25.4
1950-07-24	-23.9
1950-07-31	-23.3
1950-08-07	-22.4
1950-08-14	-23.9
1950-08-21	-24.8
1950-08-28	-24.5
1950-09-04	-25.1
1950-09-11	-26.9
1950-09-18	-28.2
1950-09-25	-29.4
1950-10-02	-30.9
1950-10-09	-30.6
1950-10-16	-31.8
1950-10-23	-31.2
1950-10-30	-32.4
1950-11-06	-33
1950-11-13	-31.8
1950-11-20	-29.4
1950-11-27	-29.4
1950-12-04	-27.9
1950-12-11	-26
1950-12-18	-26
1950-12-27	-26
1951-01-02	-26
1951-01-08	-26.3
1951-01-16	-26.3
1951-01-22	-27.3
1951-01-29	-27.3
1951-02-05	-26.3
1951-02-12	-26.3
1951-02-20	-26.3
1951-02-26	-24.5
1951-03-05	-23.6
1951-03-12	-23.9
1951-03-19	-24.8
1951-03-26	-24.8
1951-04-02	-24.8
1951-04-09	-24.8
1951-04-16	-24.8
1951-04-23	-24.8
1951-04-30	-7.4
1951-05-07	-5.6
1951-05-14	-6.5
1951-05-21	2.3
1951-05-28	2.9
1951-06-04	5.4
1951-06-11	2.9
1951-06-18	1.7
1951-06-25	8.7
1951-07-02	7.2
1951-07-09	12.1
1951-07-16	14.8
1951-07-23	13
1951-07-30	12.1
1951-08-06	9.9
1951-08-13	8.7
1951-08-20	7.8
1951-08-27	7.8
1951-09-04	10.2
1951-09-10	12.7
1951-09-17	16.3
1951-09-24	15.1
1951-10-01	22.4
1951-10-08	26.1
1951-10-15	24.9
1951-10-22	26.7
1951-10-29	26.7
1951-11-05	27.3
1951-11-12	28.2
1951-11-19	30.7
1951-11-26	30.4
1951-12-03	30.4
1951-12-10	30.4
1951-12-17	30.4
1951-12-24	30.4
1951-12-31	31
1952-01-07	31
1952-01-14	31
1952-01-21	31
1952-01-28	31.6
1952-02-04	31.6
1952-02-11	31
1952-02-18	31
1952-02-25	31
1952-03-03	31
1952-03-10	30.4
1952-03-17	29.5
1952-03-24	31.3
1952-03-31	31.6
1952-04-07	32.5
1952-04-14	34.9
1952-04-21	42.9
1952-04-28	43.8
1952-05-05	43.8
1952-05-12	43.8
1952-05-19	41.7
1952-05-26	39.5
1952-06-02	39.5
1952-06-09	40.4
1952-06-16	43.8
1952-06-23	39.8
1952-06-30	40.1
1952-07-07	38.9
1952-07-14	36.5
1952-07-21	41.3
1952-07-28	40.7
1952-08-04	45.3
1952-08-11	43.8
1952-08-18	40.7
1952-08-25	38
1952-09-01	38.9
1952-09-08	35.2
1952-09-15	32.2
1952-09-22	30.7
1952-09-29	28.2
1952-10-06	27
1952-10-13	23.1
1952-10-20	21.2
1952-10-27	20
1952-11-03	18.5
1952-11-10	17
1952-11-17	16.7
1952-11-24	15.7
1952-12-01	16.3
1952-12-08	16.3
1952-12-15	16.3
1952-12-22	16.3
1952-12-29	16.3
1953-01-05	16.3
1953-01-12	16.3
1953-01-19	17.3
1953-01-26	17.3
1953-02-03	17.3
1953-02-09	17.3
1953-02-17	17.3
1953-02-23	18.5
1953-03-05	18.5
1953-03-09	18.5
1953-03-17	18.8
1953-03-23	22.4
1953-03-30	22.4
1953-04-06	21.2
1953-04-13	20.3
1953-04-20	19.7
1953-04-27	20
1953-05-04	18.8
1953-05-11	17.9
1953-05-18	14.8
1953-05-25	19.4
1953-06-01	17
1953-06-08	15.4
1953-06-15	12.7
1953-06-22	22.4
1953-06-29	22.1
1953-07-06	25.2
1953-07-13	22.7
1953-07-20	23.1
1953-07-27	24.3
1953-08-03	23.7
1953-08-10	22.7
1953-08-17	20.9
1953-08-24	18.2
1953-08-31	22.7
1953-09-07	19.4
1953-09-14	16
1953-09-21	13.3
1953-09-28	12.1
1953-10-05	10.2
1953-10-12	8.1
1953-10-19	6
1953-10-26	3.8
1953-11-02	2.6
1953-11-09	0.5
1953-11-16	-0.4
1953-11-23	2.9
1953-11-30	2.9
1953-12-07	5.4
1953-12-14	4.8
1953-12-21	4.8
1953-12-28	5.1
1954-01-05	4.8
1954-01-11	4.8
1954-01-18	4.8
1954-01-25	3.5
1954-02-02	3.8
1954-02-08	3.5
1954-02-16	3.2
1954-04-12	4.8
1954-04-19	5.4
1954-05-17	14.5
1954-05-24	9.6
