Date	CRYSTAL(cm)
1984-04-23	60.8
1984-05-06	68.1
1984-06-02	61.4
1984-08-08	47.5
1984-09-23	41.0
1984-12-01	38.2
1985-01-14	37.0
1985-02-22	34.9
1985-04-20	68.1
1985-05-03	69.8
1985-05-21	61.4
1985-05-22	65.9
1985-07-07	59.6
1985-07-09	65.9
1985-07-26	63.5
1985-10-04	90.1
1985-10-05	73.4
1985-10-06	68.9
1985-11-16	65.1
1986-03-01	60.8
1986-05-13	75.5
1986-07-01	63.2
1986-09-03	48.0
1987-06-09	30.7
1987-07-13	21.9
1987-08-23	14.6
1987-09-03	10.0
1987-10-10	7.6
1987-11-16	5.5
1987-12-14	8.0
1988-01-25	4.8
1988-02-18	2.5
1988-03-24	0.4
1988-04-21	17.3
1988-06-01	4.5
1988-06-20	-3.3
1988-08-22	-13.5
1988-09-27	-16.3
1988-10-27	-20.3
1988-11-22	-8.8
1989-01-27	-15.7
1989-02-20	-19.2
1989-03-23	-20.7
1989-04-20	-6.2
1989-06-13	-1.8
1989-08-18	-20.7
1989-09-29	-30.4
1989-10-26	-35.9
1989-12-01	-41.4
1990-01-10	-46.1
1990-02-15	-49.8
1990-03-21	-37.9
1990-04-24	-39.9
1990-05-24	-31.0
1990-07-03	-34.1
1990-08-17	-40.9
1990-09-14	-32.4
1990-10-17	-26.9
1990-11-15	-24.9
1990-12-13	-29.0
1991-01-10	-33.6
1991-02-13	-36.8
1991-04-17	-8.2
1991-05-31	6.0
1991-07-01	10.3
1991-07-29	11.7
1991-10-04	-3.4
1991-10-24	-3.9
1991-11-22	10.9
1992-01-07	14.0
1992-02-05	13.7
1992-03-09	12.9
1992-04-02	15.0
1992-05-08	36.5
1992-06-11	26.5
1992-09-08	9.0
1992-10-05	6.3
1992-12-10	12.8
1993-01-04	10.7
1993-02-12	9.4
1993-03-19	2.9
1993-05-05	31.8
1993-06-18	42.5
1993-06-22	64.1
1993-07-26	31.9
1993-08-25	25.5
1993-10-01	24.7
1993-11-04	21.0
1993-12-16	19.3
1994-01-06	13.1
1994-02-17	9.4
1994-03-22	4.5
1994-04-18	28.1
1994-05-11	31.5
1994-07-29	25.3
1994-09-07	24.8
1994-10-14	30.5
1994-11-29	29.9
1995-05-29	45.4
1995-07-01	36.4
1995-08-25	32.1
1995-10-04	29.3
1996-05-29	73.4
1996-07-25	63.0
1996-09-06	63.7
1996-10-14	50.4
1996-12-05	63.4
1997-03-04	58.2
1997-04-12	81.8
1997-05-26	84.3
1997-07-14	80.0
1997-07-31	75.5
1997-09-05	69.3
1997-10-29	59.6
1997-12-04	53.5
1998-01-09	49.3
1998-03-13	46.7
1998-04-14	65.6
1998-07-08	48.0
1998-10-01	16.9
1998-10-26	11.8
1998-12-02	6.6
1999-03-31	3.2
1999-04-28	11.1
1999-07-08	23.4
1999-09-15	14.6
1999-10-15	7.1
1999-12-01	-4.1
2000-01-10	-7.8
2000-03-01	-5.3
2000-04-19	-0.8
2000-06-28	-4.6
2000-09-11	7.4
2000-10-17	-3.2
2000-11-07	-11.3
2000-12-02	-18.2
2001-03-21	-19.8
2001-05-10	11.6
2001-06-12	4.3
2001-07-13	-6.8
2001-08-15	-8.7
2001-10-01	-8.2
2001-11-07	-15.9
2001-12-14	-8.3
2002-04-10	-14.7
2002-05-24	34.7
2002-08-09	20.9
2002-11-30	30.7
2003-03-14	9.0
2003-05-13	46.3
2003-07-31	19.1
2003-09-09	10.6
2003-10-08	1.7
2004-06-06	32.9
2004-07-15	22.9
2004-09-21	1.1
2004-10-17	-3.9
2004-12-02	-6.8
2005-04-30	0.3
2005-05-26	-2.3
2005-06-08	-5.8
2005-07-11	-16.4
2005-08-12	-24.0
2005-11-04	-15.6
2006-02-09	-20.5
2006-04-24	-3.9
2006-07-12	-17.8
2006-08-17	-26.4
2006-10-05	-34.8
2006-11-09	-41.4
2007-04-02	-34.5
2007-05-11	-36.7
2007-06-20	-46.3
2007-08-30	-68.0
2007-11-05	-65.0
2008-02-06	-72.8
2008-04-30	-47.7
2008-06-12	-56.4
2008-08-20	-66.1
2008-10-09	-75.7
2008-11-20	-80.8
2009-02-02	-84.8
2009-03-26	-84.4
2009-05-07	-74.7
2009-06-03	-76.0
2009-06-23	-79.4
2009-07-01	-73.0
2009-07-06	-83.5
2009-08-13	-93.5
2009-08-14	na
2009-09-18	-100.0
2009-10-19	-105.1
2009-11-17	-106.2
2010-03-10	-117.4
2010-04-22	-112.4
2010-06-30	-104.5
2010-08-12	-87.4
2010-09-22	-73.0
2010-11-08	-66.7
2011-01-21	-71.6
2011-02-22	na
2011-04-06	-76.6
2011-06-03	-51.6
2011-08-29	-58.4
2011-11-01	-73.5
2011-12-15	-81.6
2012-01-27	-81.6
