date	elevation
1981-04-23	50.22
1981-06-04	44.22
1981-07-27	41.22
1981-08-25	35.22
1981-09-10	28.22
1981-12-01	29.22
1982-01-22	29.22
1982-03-01	24.22
1982-04-08	12.22
1982-05-10	34.22
1982-05-27	42.22
1982-06-07	38.22
1982-07-19	43.22
1982-08-16	38.22
1982-09-22	44.22
1982-10-21	49.22
1982-12-03	52.22
1983-01-14	59.22
1983-02-21	60.22
1983-03-30	52.22
1983-05-12	67.22
1983-06-06	63.22
1983-07-07	58.22
1984-01-05	53.22
1984-02-29	56.22
1984-04-12	53.22
1985-05-01	50.32
1985-05-15	51.52
1985-05-29	48.22
1985-06-12	49.72
1985-06-24	48.52
1985-07-08	48.52
1985-07-23	43.02
1985-08-07	38.72
1985-08-22	37.52
1985-09-11	40.52
1985-10-02	42.42
1985-10-22	49.12
1985-11-13	49.12
1986-05-05	63.32
1986-05-22	53.32
1986-06-05	45.32
1986-06-19	45.32
1986-07-02	45.32
1986-07-17	48.32
1986-07-30	48.32
1986-08-14	47.32
1986-08-27	44.32
1986-09-11	43.32
1986-09-24	44.32
1986-10-08	43.32
1986-10-22	46.32
1987-06-22	14.42
1987-07-01	10.12
1987-07-16	13.82
1987-07-29	14.72
1987-08-12	8.92
1987-08-27	5.22
1987-09-08	3.72
1987-09-22	1.02
1987-10-07	-3.28
1987-10-22	-3.88
1987-11-04	-5.08
1987-11-18	-5.68
1988-04-26	10.02
1988-05-12	8.12
1988-05-26	4.52
1988-06-08	-0.08
1988-06-23	-5.88
1988-07-06	-10.78
1988-07-21	-11.38
1988-08-02	-13.18
1988-08-17	-8.88
1988-08-31	-13.78
1988-09-13	-13.78
1988-09-29	-13.78
1988-11-08	-17.48
1989-05-02	-3.38
1989-05-17	-5.18
1989-06-01	-2.78
1989-06-15	-0.88
1989-06-29	-1.48
1989-07-12	-3.98
1989-07-27	-10.08
1989-08-09	-17.38
1989-08-24	-16.18
1989-09-07	-15.58
1989-09-21	-21.68
1989-10-05	-28.98
1989-10-19	-32.28
1989-10-31	-31.68
1989-11-15	-29.58
1990-01-15	-21.98
1990-02-19	-21.98
1990-03-29	-21.98
1990-05-03	-32.38
1990-05-16	-28.08
1990-05-31	-28.08
1990-06-12	-26.58
1990-06-28	-27.18
1990-07-11	-23.78
1990-07-25	-25.28
1990-08-09	-29.58
1990-08-23	-25.88
1990-09-06	-22.88
1990-09-19	-20.48
1990-10-04	-22.58
1990-10-17	-20.18
1990-11-01	-19.48
1990-11-14	-21.98
1991-05-08	-10.08
1991-05-22	-8.88
1991-06-06	-3.98
1991-06-20	-6.38
1991-07-02	0.02
1991-07-17	2.72
1991-08-01	3.62
1991-08-15	-1.58
1991-08-29	-3.38
1991-09-12	-1.58
1991-09-25	-1.58
1991-10-10	-5.18
1991-10-31	-4.58
1992-05-18	19.52
1992-06-02	16.12
1992-06-18	14.32
1992-07-06	15.82
1992-07-13	18.62
1992-07-30	13.12
1992-08-10	15.52
1992-08-25	13.12
1992-09-08	10.02
1992-09-22	12.52
1992-10-08	10.62
1992-10-20	10.32
1992-11-09	9.72
1993-05-19	19.32
1993-06-02	21.72
1993-06-16	23.62
1993-06-29	28.72
1993-07-28	26.02
1993-08-09	25.72
1993-08-24	24.22
1993-09-07	25.42
1993-09-21	25.42
1993-10-06	21.12
1993-10-20	20.52
1993-11-09	18.72
1994-06-30	20.02
1994-07-14	21.62
1994-07-28	25.92
1994-08-10	23.82
1994-08-25	21.32
1994-09-07	16.22
1994-09-22	27.72
1994-10-06	28.02
1994-10-20	28.32
1994-11-02	26.22
1994-11-16	24.42
1995-05-31	33.92
1995-06-15	33.92
1995-06-28	31.12
1995-07-13	28.72
1995-07-27	30.52
1995-08-10	31.42
1995-08-23	31.72
1995-09-06	27.52
1995-09-20	23.82
1995-10-05	25.32
1995-10-19	27.82
1995-11-01	32.92
1995-11-14	29.02
1996-06-11	54.32
1996-07-09	53.32
1996-07-24	55.22
1996-08-07	58.52
1996-08-22	58.52
1996-09-04	55.52
1996-09-19	50.92
1996-10-01	49.42
1996-10-16	54.02
1996-11-05	50.92
1997-06-03	71.32
1997-06-16	71.92
1997-07-01	72.52
1997-07-15	72.82
1997-07-28	75.62
1997-08-12	66.12
1997-08-25	66.12
1997-09-08	65.22
1997-09-23	63.72
1997-10-06	60.62
1997-10-20	62.22
1997-11-10	57.02
1998-05-20	50.32
1998-06-03	47.22
1998-06-15	48.72
1998-07-01	47.82
1998-07-15	46.32
1998-07-30	37.82
1998-08-12	35.02
1998-08-26	32.62
1998-09-10	23.42
1998-09-22	20.42
1998-10-07	17.02
1998-10-22	13.12
1998-11-04	10.62
1999-06-03	16.32
1999-06-17	20.02
1999-06-30	16.32
1999-07-14	25.12
1999-07-29	27.32
1999-08-11	23.32
1999-08-25	23.92
1999-09-08	18.72
1999-09-22	15.72
1999-10-06	9.92
1999-10-20	9.02
1999-11-09	3.52
2000-05-03	1.22
2000-05-18	-1.28
2000-06-01	-2.78
2000-06-14	-5.78
2000-06-28	-1.78
2000-07-13	16.72
2000-07-27	11.22
2000-08-10	11.22
2000-08-21	11.22
2000-09-08	5.22
2000-09-21	3.72
2000-10-05	-2.28
2000-10-19	-4.78
2000-11-02	-6.78
2000-11-15	-7.28
2001-05-03	-0.78
2001-05-16	0.22
2001-06-01	0.22
2001-06-13	3.22
2001-06-28	4.22
2001-07-12	-1.78
2001-07-25	-1.78
2001-08-09	-0.78
2001-08-23	-8.78
2001-09-06	-13.78
2001-09-20	-12.78
2001-10-04	-14.78
2001-10-17	-16.78
2001-10-31	-16.78
2002-05-23	14.12
2002-06-20	15.12
2002-07-02	14.12
2002-07-18	11.12
2002-08-01	13.12
2002-08-15	10.12
2002-08-28	12.12
2002-09-11	14.12
2002-09-25	12.12
2002-10-10	19.12
2002-10-23	19.12
2002-11-05	16.62
2003-05-28	30.62
2003-06-11	33.62
2003-06-26	30.62
2003-07-09	25.62
2003-07-24	21.62
2003-08-07	20.62
2003-08-21	15.62
2003-09-04	9.12
2003-09-18	5.62
2003-10-01	2.62
2003-10-16	-2.38
2003-10-29	-2.88
2003-11-14	-5.38
2004-05-13	14.82
2004-05-27	16.12
2004-06-08	17.12
2004-06-24	12.32
2004-07-09	7.62
2004-07-21	6.32
2004-08-05	9.82
2004-08-19	9.32
2004-09-01	5.32
2004-09-14	3.32
2004-10-01	-1.18
2004-10-13	-0.18
2004-10-27	-2.18
2005-06-03	-3.78
2005-06-15	-2.78
2005-06-29	-6.78
2005-07-14	-11.78
2005-07-28	-14.78
2005-08-10	-18.28
2005-08-24	-23.78
2005-09-06	-27.78
2005-09-20	-26.28
2005-10-07	-14.78
2005-10-18	-15.78
2005-11-15	-19.78
2006-04-19	-11.58
2006-05-02	-12.38
2006-05-19	-10.68
2006-05-31	-6.98
2006-06-15	-10.48
2006-06-29	-23.48
2006-07-13	-25.38
2006-07-27	-23.98
2006-08-10	-26.98
2006-08-23	-28.48
2006-09-08	-31.48
2006-09-20	-33.48
2006-10-05	-26.48
2006-10-18	-37.48
2006-11-03	-41.48
2007-05-24	-40.98
2007-06-06	-42.98
2007-06-21	-45.98
2007-07-04	-51.48
2007-07-19	-54.98
2007-08-01	-56.78
2007-08-16	-63.78
2007-08-29	-66.28
2007-09-13	-75.88
2007-09-24	-76.88
2007-10-11	-63.88
2007-10-25	-62.88
2007-11-16	-67.38
2008-09-10	-73.08
2008-09-24	-70.28
2008-10-09	-71.08
2008-10-22	-76.08
2008-11-12	-75.08
2009-04-28	-70.68
2009-05-15	-70.68
2009-05-29	-73.68
2009-06-11	-73.68
2009-06-29	-77.68
2009-07-08	-79.18
2009-07-23	-83.68
2009-08-05	-87.68
2009-08-20	-88.68
2009-09-01	-89.18
2009-09-16	-93.68
2009-09-30	-97.68
2009-10-15	-97.68
2009-10-28	-95.68
2009-11-11	-96.68
2010-05-04	-103.38
2010-05-12	-103.88
2010-05-26	-105.18
2010-06-02	-105.38
2010-06-09	-104.38
2010-06-16	-98.88
2010-06-23	-97.38
2010-06-30	-95.38
2010-07-08	-90.88
2010-07-21	-88.38
2010-07-27	-86.68
2010-08-05	-85.88
2010-08-11	-83.88
2010-08-19	-81.88
2010-08-31	-78.88
2010-09-16	-77.88
2010-09-30	-71.88
2010-10-13	-73.88
2010-10-29	-72.88
2010-11-10	-75.88
2011-05-18	-66.68
2011-06-01	-65.68
2011-06-10	-69.38
2011-06-15	-70.68
