DateTime	Evap (cm)
1937-01-01	62.9
1938-01-01	47.5
1939-01-01	53.6
1940-01-01	44.8
1941-01-01	60.4
1942-01-01	58.8
1943-01-01	59.6
1944-01-01	58.5
1945-01-01	54.5
1946-01-01	59.2
1947-01-01	63.1
1948-01-01	67.8
1949-01-01	60.8
1950-01-01	49.5
1951-01-01	48.9
1952-01-01	49.5
1953-01-01	53.4
1954-01-01	46.1
1955-01-01	53.3
1956-01-01	45.4
1957-01-01	54.3
1958-01-01	52.6
1959-01-01	49.9
1960-01-01	48.4
1961-01-01	49.7
1962-01-01	45
1963-01-01	45.8
1964-01-01	45.6
1965-01-01	42
1966-01-01	44
1967-01-01	43.7
1968-01-01	36.4
1969-01-01	41
1970-01-01	48.4
1971-01-01	43.8
1972-01-01	42.1
1973-01-01	46.1
1974-01-01	47
1975-01-01	49.2
1976-01-01	59.3
1977-01-01	48.6
1978-01-01	46.3
1979-01-01	48.8
1980-01-01	45.9
1981-01-01	45.1
1982-01-01	47
1983-01-01	47.3
1984-01-01	49.5
1985-01-01	50.6
1986-01-01	49.3
1987-01-01	55.2
1988-01-01	60.9
1989-01-01	54.7
1990-01-01	62.4
1991-01-01	53.5
1992-01-01	51.1
1993-01-01	49.1
1994-01-01	49.8
1995-01-01	47.4
1996-01-01	39.6
1997-01-01	43.8
1998-01-01	65
1999-01-01	51.7
2000-01-01	53.4
2001-01-01	50.1
2002-01-01	50.9
2003-01-01	52.5
2004-01-01	47.6
2005-01-01	56.8
2006-01-01	52.1
2007-01-01	55.5
2008-01-01	51.6
2009-01-01	49.7
2010-01-01	55.9
