DateTime	precip (cm)
1937-01-01	67.3
1938-01-01	108.8
1939-01-01	78.8
1940-01-01	92.2
1941-01-01	94.2
1942-01-01	98.2
1943-01-01	80.8
1944-01-01	68.8
1945-01-01	91.7
1946-01-01	83.1
1947-01-01	67.8
1948-01-01	59
1949-01-01	80.1
1950-01-01	74.5
1951-01-01	99.2
1952-01-01	70.6
1953-01-01	79.4
1954-01-01	86.7
1955-01-01	75.8
1956-01-01	68.7
1957-01-01	66.2
1958-01-01	70.8
1959-01-01	95.5
1960-01-01	81.2
1961-01-01	79.4
1962-01-01	74.7
1963-01-01	59.5
1964-01-01	78
1965-01-01	89.7
1966-01-01	73.9
1967-01-01	81
1968-01-01	101.4
1969-01-01	73.3
1970-01-01	80.7
1971-01-01	84.3
1972-01-01	91.6
1973-01-01	84.1
1974-01-01	68.5
1975-01-01	80.4
1976-01-01	49.6
1977-01-01	91.5
1978-01-01	89.8
1979-01-01	83
1980-01-01	88.3
1981-01-01	76.3
1982-01-01	96.3
1983-01-01	87.8
1984-01-01	81.9
1985-01-01	97
1986-01-01	85.9
1987-01-01	63.9
1988-01-01	67.1
1989-01-01	56.5
1990-01-01	92.7
1991-01-01	99.4
1992-01-01	76.4
1993-01-01	80.8
1994-01-01	76.5
1995-01-01	87
1996-01-01	88
1997-01-01	76
1998-01-01	58.4
1999-01-01	83.8
2000-01-01	85.4
2001-01-01	84.3
2002-01-01	95.5
2003-01-01	68
2004-01-01	75.2
2005-01-01	76.2
2006-01-01	70.7
2007-01-01	64.5
2008-01-01	69
2009-01-01	64.6
2010-01-01	100.4
