Date	Region GW DLTM (cm)
1942-01-01	25.4
1942-02-01	23.2
1942-03-04	25.4
1942-04-04	27.5
1942-05-05	47.9
1942-06-05	57.1
1942-07-06	60.1
1942-08-06	51.0
1942-09-06	52.2
1942-10-07	51.0
1942-11-07	47.9
1942-12-08	40.3
1943-01-08	32.7
1943-02-08	28.1
1943-03-11	22.9
1943-04-11	48.5
1943-05-12	57.7
1943-06-12	74.4
1943-07-13	88.8
1943-08-13	77.8
1943-09-13	65.6
1943-10-14	54.6
1943-11-14	46.4
1943-12-15	32.7
1944-01-15	25.4
1944-02-15	15.9
1944-03-17	8.3
1944-04-17	10.7
1944-05-18	28.7
1944-06-18	36.3
1944-07-19	31.2
1944-08-19	24.1
1944-09-19	9.8
1944-10-20	2.2
1944-11-20	-8.8
1944-12-21	-15.2
1945-01-21	-23.1
1945-02-21	-29.2
1945-03-24	-16.4
1945-04-24	2.5
1945-05-25	18.7
1945-06-25	25.1
1945-07-26	22.6
1945-08-26	18.1
1945-09-26	13.8
1945-10-27	9.8
1945-11-27	12.6
1945-12-28	7.7
1946-01-28	7.1
1946-02-28	4.6
1946-03-31	14.1
1946-04-01	12.3
1946-05-02	7.1
1946-06-02	19.6
1946-07-03	23.2
1946-08-03	15.3
1946-09-03	10.1
1946-10-04	5.6
1946-11-04	4.9
1946-12-05	1.9
1947-01-05	-5.1
1947-02-05	-13.3
1947-03-08	-15.8
1947-04-08	-3.0
1947-05-09	8.0
1947-06-09	9.8
1947-07-10	4.9
1947-08-10	-7.5
1947-09-10	-10.3
1947-10-11	-19.7
1947-11-11	-23.7
1947-12-12	-25.5
1948-01-12	-35.9
1948-02-12	-39.2
1948-03-14	-35.0
1948-04-14	-29.2
1948-05-15	-33.2
1948-06-15	-41.7
1948-07-16	-41.7
1948-08-16	-49.3
1948-09-16	-61.5
1948-10-17	-66.7
1948-11-17	-67.0
1948-12-18	-72.5
1949-01-18	-72.2
1949-02-18	-76.1
1949-03-21	-70.6
1949-04-21	-65.8
1949-05-22	-64.9
1949-06-22	-66.1
1949-07-23	-56.0
1949-08-23	-56.6
1949-09-23	-61.2
1949-10-24	-64.5
1949-11-24	-69.1
1949-12-25	-68.2
1950-01-25	-69.1
1950-02-25	-73.4
1950-03-01	-73.4
1950-04-01	-45.6
1950-05-02	-24.9
1950-06-02	-20.7
1950-07-03	-23.7
1950-08-03	-30.7
1950-09-03	-36.8
1950-10-04	-44.7
1950-11-04	-48.4
1950-12-05	-52.7
1951-01-05	-57.2
1951-02-05	-63.0
1951-03-08	-53.9
1951-04-08	-19.7
1951-05-09	-3.3
1951-06-09	6.2
1951-07-10	8.9
1951-08-10	11.0
1951-09-10	14.1
1951-10-11	26.3
1951-11-11	32.4
1951-12-12	29.3
1952-01-12	22.9
1952-02-12	16.2
1952-03-14	15.3
1952-04-14	30.2
1952-05-15	33.0
1952-06-15	31.2
1952-07-16	38.8
1952-08-16	34.8
1952-09-16	23.8
1952-10-17	14.4
1952-11-17	5.6
1952-12-18	-1.8
1953-01-18	-11.5
1953-02-18	-17.6
1953-03-21	-5.7
1953-04-21	-3.6
1953-05-22	-3.9
1953-06-22	4.6
1953-07-23	15.6
1953-08-23	14.7
1953-09-23	6.5
1953-10-24	-3.6
1953-11-24	-10.6
1953-12-25	-16.7
1954-01-25	-23.7
1954-02-25	-28.0
1954-03-28	-24.0
1954-04-28	-13.3
1954-05-29	4.9
1954-06-29	10.1
1954-07-30	3.1
1954-08-30	-4.8
1954-09-30	-7.5
1954-10-31	2.8
1954-11-01	-1.1
1954-12-02	-8.5
1955-01-02	-16.1
1955-02-02	-22.2
1955-03-05	-12.1
1955-04-05	5.9
1955-05-06	9.2
1955-06-06	11.3
1955-07-07	4.6
1955-08-07	1.6
1955-09-07	-6.9
1955-10-08	-23.7
1955-11-08	-12.1
1955-12-09	-21.6
1956-01-09	-26.1
1956-02-09	-33.5
1956-03-11	-31.6
1956-04-11	-19.1
1956-05-12	-16.4
1956-06-12	-11.5
1956-07-13	-2.7
1956-08-13	-2.7
1956-09-13	-7.2
1956-10-14	-15.5
1956-11-14	-21.9
1956-12-15	-28.9
1957-01-15	-36.2
1957-02-15	-42.3
1957-03-18	-36.5
1957-04-18	-29.5
1957-05-19	-31.3
1957-06-19	-35.0
1957-07-20	-36.8
1957-08-20	-38.9
1957-09-20	-39.9
1957-10-21	-44.7
1957-11-21	-45.6
1957-12-22	-49.6
1958-01-22	-55.1
1958-02-22	-58.5
1958-03-25	-55.1
1958-04-25	-44.1
1958-05-26	-44.1
1958-06-26	-44.7
1958-07-01	-35.9
1958-08-01	-42.9
1958-09-01	-46.6
1958-10-02	-52.7
1958-11-02	-55.7
1958-12-03	-60.3
1959-01-03	-67.9
1959-02-03	-69.4
1959-03-06	-70.9
1959-04-06	-61.8
1959-05-07	-60.3
1959-06-07	-61.8
1959-07-08	-64.9
1959-08-08	-58.8
1959-09-08	-37.4
1959-10-09	-0.8
1959-11-09	8.3
1959-12-10	5.3
1960-01-10	2.2
1960-02-10	-3.9
1960-03-12	-10.0
1960-04-12	2.2
