DateTime	delStage	P_E
1943-01-01 00:00	-1.3311	21.2
1944-01-01 00:00	-42.886	10.3
1945-01-01 00:00	22.684	37.2
1946-01-01 00:00	-6.2954	23.9
1947-01-01 00:00	-22.064	4.7
1948-01-01 00:00	-38.635	-8.8
1949-01-01 00:00	1.7878	19.3
1950-01-01 00:00	17.299	25
1951-01-01 00:00	69.395	50.3
1952-01-01 00:00	-23.026	21.1
1953-01-01 00:00	-11.725	26
1954-01-01 00:00	1.7004	40.6
1955-01-01 00:00	-15.958	22.5
1956-01-01 00:00	-1.2993	23.3
1957-01-01 00:00	-18.194	11.9
1958-01-01 00:00	-9.6106	18.2
1959-01-01 00:00	46.522	45.6
1960-01-01 00:00	18.851	32.8
1961-01-01 00:00	-24.523	29.7
1962-01-01 00:00	-13.098	29.7
1963-01-01 00:00	-28.32	13.7
1964-01-01 00:00	-18.538	32.4
1965-01-01 00:00	49.627	47.7
1966-01-01 00:00	1.454	29.9
1967-01-01 00:00	15.545	37.3
1968-01-01 00:00	38.364	65
1969-01-01 00:00	-12.185	32.3
1970-01-01 00:00	-16.484	32.3
1971-01-01 00:00	0.78751	40.5
1972-01-01 00:00	22.038	49.5
1973-01-01 00:00	5.3922	38
1974-01-01 00:00	-33.047	21.5
1975-01-01 00:00	-8.8894	31.2
1976-01-01 00:00	-40.393	-9.7
1977-01-01 00:00	18.578	42.9
1978-01-01 00:00	33.258	43.5
1979-01-01 00:00	11.492	34.2
1980-01-01 00:00	3.232	42.4
1981-01-01 00:00	-0.40539	31.2
1982-01-01 00:00	16.37	49.3
1983-01-01 00:00	2.8034	40.5
1984-01-01 00:00	-9.3133	32.4
1985-01-01 00:00	20.667	46.4
1986-01-01 00:00	-16.049	36.6
1987-01-01 00:00	-46.899	8.7
1988-01-01 00:00	-19.714	6.2
1989-01-01 00:00	-9.2671	1.8
1990-01-01 00:00	19.552	30.3
1991-01-01 00:00	33.546	45.9
1992-01-01 00:00	5.9561	25.3
1993-01-01 00:00	5.3423	31.7
1994-01-01 00:00	4.0107	26.7
1995-01-01 00:00	14.061	39.6
1996-01-01 00:00	18.843	48.4
1997-01-01 00:00	-6.4252	32.2
1998-01-01 00:00	-43.75	-6.6
1999-01-01 00:00	-11.035	32.1
2000-01-01 00:00	-9.9863	32
2001-01-01 00:00	3.7196	34.2
2002-01-01 00:00	30.614	44.6
2003-01-01 00:00	-15.96	15.5
2004-01-01 00:00	-10.334	27.6
2005-01-01 00:00	-13.895	19.4
2006-01-01 00:00	-22.185	18.6
2007-01-01 00:00	-28.922	9
2008-01-01 00:00	-9.3977	17.4
2009-01-01 00:00	-26.236	14.9
2010-01-01 00:00	32.84	44.5
