Year	Agg_S_anomaly
1943	39.98
1944	14.01
1945	4.66
1946	6.86
1947	-5.32
1948	-38.08
1949	-56.07
1950	-38.43
1951	-0.87
1952	27.04
1953	6.58
1954	-2.24
1955	-7.40
1956	-13.65
1957	-30.39
1958	-39.92
1959	-36.44
1960	18.18
1961	8.52
1962	-9.18
1963	-36.16
1964	-59.73
1965	-36.09
1966	-10.73
1967	5.27
1968	22.49
1969	39.08
1970	13.58
1971	13.23
1972	20.55
1973	49.59
1974	21.42
1975	0.54
1976	-8.06
1977	-40.90
1978	-18.18
1979	22.80
1980	15.44
1981	28.93
1982	23.75
1983	41.35
1984	36.93
1985	40.26
1986	45.70
1987	8.79
1988	-22.72
1989	-31.95
1990	-33.17
1991	-2.76
1992	16.57
1993	27.35
1994	22.72
1995	28.06
1996	55.37
1997	66.37
1998	37.45
1999	11.68
2000	-1.68
2001	-7.30
2002	12.38
2003	17.66
2004	9.75
2005	-11.05
2006	-23.09
2007	-52.41
2008	-69.07
2009	-86.16
2010	-92.35
2011	-71.81
